ANZAC ID ,Mouse ID,treatment,diet,diet.P,diet.C,diet.F,ave.intake,intake.P,intake.C,intake.F,intake.E,triglycerides,uterus.weight.mg,ucp1,ucp1.batw,GTT_AUC,P4,FSH,LH,body.weight,body.fat,no.cycles,no.CL,cholesterol,adiponectin,triglycerides,uterus.weight,adipo.size,red.liver,ucp1,ucp1.batw,fgf21,basal.glucose
23363,O4.4/9,dht,1,8.88,3.03,3.22,1.953428571,17.34644571,5.918888571,6.29004,29.55537429,55.59780176,59.85,3.3133,60.6498261,20479,0.58,1065,225.66,22.2,21.4,0,2,41.63438063,4104.4915,55.59780176,0.05985,1648.8712,4.88509869,3.3133,60.6498261,,8.2
23364,O4.4/10,dht,1,8.88,3.03,3.22,1.953428571,17.34644571,5.918888571,6.29004,29.55537429,26.26735117,50.22,1.2836,22.77097747,14419,0.252,5274,719.63,21.8,18,0,,33.25169113,1635.8704,26.26735117,0.05022,1805.58108,,1.2836,22.7709775,0.01059,9.3
23365,O4.4/8,dht,1,8.88,3.03,3.22,1.953428571,17.34644571,5.918888571,6.29004,29.55537429,53.28831746,56.78,1.5309,25.69486405,25950,0.1638,1344,105.93,21.8,22.3,0,0,54.15967831,5752.9695,53.28831746,0.05678,1387.26876,2.54528339,1.5309,25.6948641,0.01059,9
23366,O4.4/6,blank,1,8.88,3.03,3.22,1.968285714,17.47837714,5.963905714,6.33788,29.78016286,52.24904953,89.89,1.2194,22.51061473,15037,0.1476,1605,118.86,20.2,17.9,2,5,60.7878514,7564.9117,52.24904953,0.08989,1510.14224,1.05870053,1.2194,22.5106147,0.03708838,10.2
23367,O4.4/7,blank,1,8.88,3.03,3.22,1.968285714,17.47837714,5.963905714,6.33788,29.78016286,,70.12,0.5833,11.66833367,18919,0.284,557.59,118.86,19.57,19.7,1,2,44.02247241,12641.1157,,0.07012,,2.03914565,0.5833,11.6683337,0.02007752,9.3
23368,O4.4/4,blank,1,8.88,3.03,3.22,1.968285714,17.47837714,5.963905714,6.33788,29.78016286,47.51460671,57.86,0.844,19.81685842,14134,0.634,1801,133.02,20.66,17.5,2,5,56.69397979,13832.2552,47.51460671,0.05786,1626.51408,3.10363032,0.844,19.8168584,0.01059,10.3
23369,O3B.4/3,blank,2,0.74,11.62,3.23,2.56114881,1.895250119,29.76054917,8.272510655,39.92830994,,31.52,1.5717,32.01670401,9155,1.086,1107,144.17,18.12,25.4,2,1,60.73911484,2443.7125,,0.03152,1887.98384,10.8713975,1.5717,32.016704,,8.7
23370,O3B.4/4,blank,2,0.74,11.62,3.23,2.56114881,1.895250119,29.76054917,8.272510655,39.92830994,44.05038027,23.05,1.9419,48.66917293,19540,0.0842,1697,141.39,17.41,25.3,2,0,50.89432833,3625.537,44.05038027,0.02305,1537.32785,9.92699977,1.9419,48.6691729,,7.4
23371,O3B.4/5,blank,2,0.74,11.62,3.23,2.56114881,1.895250119,29.76054917,8.272510655,39.92830994,58.52053813,28.37,1.7556,37.56901348,17114,1.26,,,18.68,27.1,1,0,41.75216081,,58.52053813,0.02837,2126.20083,14.4006755,1.7556,37.5690135,18.0399085,8.3
23372,O100.5/8,blank,3,0.75,3.06,12.19,3.121887125,2.341415344,9.552974603,38.05580406,49.950194,84.85145508,30.04,1.5859,26.80243367,20354,0.38,1504,107.38,21.8,19.5,2,4,39.72374159,7387.6701,84.85145508,0.03004,1992.89463,0.24565868,1.5859,26.8024337,19.4683831,6.5
23373,O100.5/7,blank,3,0.75,3.06,12.19,3.121887125,2.341415344,9.552974603,38.05580406,49.950194,46.8427822,18.51,0.369,72.8097869,33199,0.111,988.53,391.71,16.38,24.6,0,0,32.62427433,16811.5552,46.8427822,0.01851,1629.08588,48.9052487,0.369,72.8097869,2.28933381,4.9
